secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
108105,20200908,20201007,,C,3490000,26.6,28.2,0,135904145,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3500000,24,25.5,0,135904146,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3510000,21.6,23,0,135904147,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3520000,19.3,20.8,0,135904148,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3525000,18.3,19.7,0,135904149,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3530000,17.3,18.7,0,135904150,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3540000,15.5,16.8,0,135904151,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3550000,14,14.9,0,135904152,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3575000,10.6,11.4,0,135904153,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3600000,8,8.7,0,135904154,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3625000,6.1,6.7,1,135904155,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3650000,4.7,5.2,0,135904156,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3675000,3.6,4.1,0,135904157,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3700000,2.85,3.3,0,135904158,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3725000,2.3,2.65,0,135904159,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3750000,1.85,2.2,8,135904160,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3775000,1.5,1.8,16,135904161,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3800000,1.25,1.55,1,135904162,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3850000,0.85,1.1,5,135904163,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3900000,0.6,0.85,0,135904164,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3950000,0.45,0.7,0,135904165,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4000000,0.35,0.55,0,135904166,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,4100000,0.2,0.4,10,135904167,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4200000,0.15,0.3,0,135904168,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4300000,0.1,0.25,0,135904169,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4400000,0.05,0.2,0,135904170,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4500000,0,0.1,0,135904171,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4600000,0,0.15,0,135904172,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4700000,0,0.15,0,135904173,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4800000,0,0.1,0,135904174,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,4900000,0,0.1,0,135904175,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,5000000,0,0.1,0,135904176,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,5100000,0,0.1,0,135904177,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,900000,2421.8,2444.7,0,135904178,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,1000000,0.05,0.2,0,135904179,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,1100000,0.05,0.25,0,135904180,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,1200000,0.1,0.25,0,135904181,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,1300000,0.1,0.3,0,135904182,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,1400000,0.15,0.35,0,135904183,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,1500000,0.25,0.45,1,135904184,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,1600000,0.3,0.5,0,135904185,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,1700000,0.45,0.65,0,135904186,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,1800000,0.6,0.8,1,135904187,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,1900000,0.8,1,1,135904188,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2000000,1.05,1.3,0,135904189,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2100000,1.45,1.7,0,135904190,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2200000,1.95,2.2,90,135904191,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2250000,2.25,2.55,0,135904192,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2300000,2.6,2.95,0,135904193,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2350000,3,3.4,0,135904194,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2400000,3.5,3.9,0,135904195,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2450000,4.1,4.5,0,135904196,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2500000,4.8,5.2,1,135904197,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2550000,5.5,6,60,135904198,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2600000,6.5,7,4,135904199,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2650000,7.6,8.1,6,135904200,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2700000,8.9,9.5,1,135904201,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2750000,10.4,11,0,135904202,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2775000,11.3,12,1,135904203,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2800000,12.3,13,1,135904204,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2825000,13.4,14.1,0,135904205,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2850000,14.6,15.3,0,135904206,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2875000,15.8,16.7,0,135904207,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2900000,17.3,18.2,0,135904208,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2925000,18.8,19.9,2,135904209,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,2950000,20.6,21.8,0,135904210,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,2975000,22.6,23.9,62,135904211,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3000000,24.9,26.2,21,135904212,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3025000,27.4,28.7,0,135904213,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3050000,30.1,31.5,0,135904214,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3075000,33.2,34.7,21,135904215,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3100000,36.7,38.1,200,135904216,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3125000,40.5,42,0,135904217,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3150000,44.8,46.4,120,135904218,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3175000,49.7,51.1,0,135904219,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3200000,55,56.5,16,135904220,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3210000,57.3,58.8,1,135904221,1,CBOE S&P 500 INDEX,E
