 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price
134592257    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200616    108105      630.40     634.60         0    2705000
134227934    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200611    108105      625.30     629.10         0    2710000
134592258    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      620.40     624.60         0    2715000
134227935    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      615.50     619.30         0    2720000
129372853    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      610.50     614.70         0    2725000
134227936    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200624    108105      605.60     609.80         0    2730000
134592259    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200624    108105      600.50     604.30         0    2735000
134227937    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200707    108105      595.60     599.80         0    2740000
134592260    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200720    108105      590.50     594.40         0    2745000
129372854    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      585.70     589.90         0    2750000
134592261    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200721    108105      580.80     584.60         0    2755000
134227938    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200723    108105      575.80     580.00         0    2760000
134592262    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200616    108105      570.90     575.10         0    2765000
134227939    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200713    108105      565.90     570.10         0    2770000
129372855    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200805    108105      561.00     565.20         0    2775000
134227940    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200803    108105      556.00     560.20         0    2780000
134592263    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200721    108105      551.10     554.90         0    2785000
134227941    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200602    108105      546.10     550.30         0    2790000
134592264    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      541.00     544.90         0    2795000
129372856    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      536.20     540.40         0    2800000
134592265    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200616    108105      531.20     535.00         0    2805000
134227942    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200602    108105      526.40     530.50         0    2810000
134592266    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      521.40     525.60         0    2815000
134227943    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200629    108105      516.50     520.30         0    2820000
129372857    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      511.50     515.70         0    2825000
134227944    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      506.50     510.30         0    2830000
